trade_index,entry_time,exit_time,side,entry_price,exit_price,quantity,pnl,pnl_pct,leverage,entry_fee,exit_fee,funding_fee,liquidated
57,2024-06-24 05:00:00+00:00,2024-06-24 15:00:00+00:00,buy,62327.5482,60792.7884,0.08026145973122042,-125.56016060303651,-0.1255601606030365,5.0,2.50125,2.4396589690576023,0.0,False
58,2024-06-24 15:00:00+00:00,2024-06-24 19:00:00+00:00,buy,60853.6116,59265.05265,0.08220547422693972,-132.95893621112222,-0.13295893621112223,5.0,2.50125,2.4359558790889,0.0,False
59,2024-06-24 19:00:00+00:00,2024-06-25 14:00:00+00:00,buy,59324.34735,61699.7347,0.08432456863766914,197.60201017334325,0.19760201017334325,5.0,2.50125,2.6014017568180634,0.0,False
60,2024-06-28 19:00:00+00:00,2024-06-30 22:00:00+00:00,buy,60162.26609999999,62863.45255,0.0831501258892906,221.8781954975156,0.2218781954975156,5.0,2.50125,2.6135519966839733,0.0,False
61,2024-07-02 14:00:00+00:00,2024-07-03 08:00:00+00:00,buy,62063.716349999995,60465.851950000004,0.08060264989271787,-131.16459488636303,-0.13116459488636303,5.0,2.5012499999999998,2.4368539475953814,0.0,False
62,2024-07-03 08:00:00+00:00,2024-07-04 01:00:00+00:00,buy,60526.34804999999,58532.41915,0.08264995594757348,-167.13462879078986,-0.16713462879078986,5.0,2.5012499999999998,2.4188509321262033,0.0,False
63,2024-07-04 01:00:00+00:00,2024-07-04 12:00:00+00:00,buy,58590.98084999999,57205.78280000001,0.08538003507411841,-120.6512693877939,-0.1206512693877939,5.0,2.50125,2.4421158709532,0.0,False
64,2024-07-04 12:00:00+00:00,2024-07-05 02:00:00+00:00,buy,57263.017199999995,55728.5218,0.08736004920117971,-136.4208235459904,-0.1364208235459904,5.0,2.5012499999999998,2.434223203178508,0.0,False
65,2024-07-05 02:00:00+00:00,2024-07-05 04:00:00+00:00,buy,55784.2782,53896.2384,0.08967580403325896,-171.64346793139995,-0.17164346793139995,5.0,2.50125,2.4165942564441036,0.0,False
66,2024-07-05 04:00:00+00:00,2024-07-05 15:00:00+00:00,buy,53950.16159999999,56609.18125,0.09272446739065932,243.80843625496175,0.24380843625496174,5.0,2.50125,2.624528090413774,0.0,False
67,2024-07-07 13:00:00+00:00,2024-07-08 00:00:00+00:00,buy,56874.523049999996,55041.36555,0.08795678155581474,-163.57868544063174,-0.16357868544063175,5.0,2.50125,2.4206306831075484,0.0,False
68,2024-07-08 00:00:00+00:00,2024-07-08 08:00:00+00:00,buy,55096.43445,57738.91610000001,0.09079534909903775,237.18392880693784,0.23718392880693784,5.0,2.50125,2.621212521949776,0.0,False
69,2024-07-10 18:00:00+00:00,2024-07-14 05:00:00+00:00,buy,57634.803,60201.28430000001,0.08679651425198764,220.03767476475386,0.22003767476475386,5.0,2.50125,2.6126308153664555,0.0,False
70,2024-07-17 16:00:00+00:00,2024-07-19 19:00:00+00:00,buy,64253.41065,67074.2461,0.07785578927863497,216.89755689167302,0.21689755689167303,5.0,2.50125,2.611059185192452,0.0,False
71,2024-07-22 14:00:00+00:00,2024-07-24 22:00:00+00:00,buy,66728.64765,65233.966700000004,0.07496780132932905,-114.44216956505856,-0.11444216956505857,5.0,2.50125,2.4452235277448335,0.0,False
72,2024-07-25 01:00:00+00:00,2024-07-26 09:00:00+00:00,buy,64500.133949999996,67222.97170000001,0.07755797846680286,208.46541655957975,0.20846541655957976,5.0,2.50125,2.6068388957915496,0.0,False
73,2024-07-29 14:00:00+00:00,2024-07-29 23:00:00+00:00,buy,68234.20005,66716.625,0.07331367549314444,-113.64902354829098,-0.11364902354829098,5.0,2.50125,2.4456204976239038,0.0,False
74,2024-07-29 23:00:00+00:00,2024-07-31 19:00:00+00:00,buy,66783.375,65197.18510000001,0.0749063670411985,-121.19818681268094,-0.12119818681268095,5.0,2.50125,2.4418421385767797,0.0,False
75,2024-07-31 19:00:00+00:00,2024-08-01 03:00:00+00:00,buy,65262.414899999996,63880.84360000001,0.07665208233046858,-108.29569317782698,-0.10829569317782697,5.0,2.5012499999999998,2.448299841483494,0.0,False
76,2024-08-01 03:00:00+00:00,2024-08-02 19:00:00+00:00,buy,63944.7564,62588.39015,0.07823159054211362,-108.505854920462,-0.108505854920462,5.0,2.5012499999999998,2.4481946554524288,0.0,False
77,2024-08-02 20:00:00+00:00,2024-08-02 22:00:00+00:00,buy,62631.299999999996,61347.211050000005,0.07987220447284345,-104.9617277884822,-0.10496172778848219,5.0,2.5012499999999998,2.4499684924121405,0.0,False
78,2024-08-02 22:00:00+00:00,2024-08-04 14:00:00+00:00,buy,61408.58895,59534.218,0.08146254596524156,-155.03962679429853,-0.15503962679429853,5.0,2.50125,2.424904485164856,0.0,False
